uid,receptor_chains,ligand_chains,dG
1a22,B,A,-12.91
1b27,A,D,-19.09
1b6c,B,A,-8.94
1buh,A,B,-9.7
1dee,B,A,-8.72
1e6e,A,B,-8.27
1f47,B,A,-6.36
1gla,G,F,-9.2
1gua,A,B,-10.09
1gxd,A,C,-11.3
1h59,A,B,-10.13
1i8l,A,C,-9.13
1iar,B,A,-13.35
1j2j,A,B,-7.98
1ktz,B,A,-8.91
1kxq,A,H,-11.53
1kxt,A,B,-9.04
1kxv,A,C,-11.53
1l4d,A,B,-9.14
1lfd,B,A,-7.79
1lp1,A,B,-7.77
1lx5,A,B,-12.16
1lzw,B,A,-8.84
1m10,B,A,-11.23
1m5n,S,Q,-11.83
1m9e,A,D,-5.7
1mq8,A,B,-7.53
1mzw,A,B,-7.78
1ohz,A,B,-10.78
1op9,B,A,-12.48
1pvh,A,B,-9.68
1r6q,A,C,-8.84
1ri8,B,A,-11.64
1rjc,B,A,-13.79
1ry7,B,A,-9.05
1s0w,A,C,-9.24
1shy,B,A,-9.61
1shz,A,C,-7.53
1sq0,B,A,-10.26
1sv0,C,A,-10.85
1syq,A,B,-10.68
1t0p,A,B,-6.28
1tdq,A,B,-10.8
1u0s,Y,A,-9.05
1uad,A,C,-9.36
1us7,A,B,-7.46
1usu,A,B,-7.47
1usv,A,B,-7.47
1vet,A,B,-10.76
1vyt,A,E,-10.5
1wqj,B,I,-8.27
1wrd,A,B,-4.62
1x1u,A,D,-10.74
1x1w,A,D,-10.33
1x1x,A,D,-9.92
1x1y,A,D,-6.68
1xqs,A,C,-7.07
1xxm,A,C,-8.94
1y6k,R,L,-12.27
1y6m,R,L,-9.22
1y8n,A,B,-8.09
1ycs,B,A,-10.26
1yd8,H,U,-5.1
1ydi,A,B,-11.93
1yru,A,B,-12.27
1z0k,A,B,-6.97
1zc3,A,D,-10.06
1zhi,A,B,-9.13
1zmy,A,L,-11.07
1zv5,L,A,-10.91
1zvh,L,A,-9.76
1zvy,B,A,-13.64
2a6d,H,L,-9.3
2a6k,B,A,-9.11
2a78,B,A,-9.85
2a9k,B,A,-9.85
2ajf,A,E,-10.91
2aq1,B,A,-11.26
2aq2,B,A,-10.85
2arp,F,A,-8.68
2b0z,A,B,-5.45
2b10,A,B,-6.82
2b11,A,B,-7.23
2b12,A,B,-6.41
2be6,A,D,-11.7
2c0l,A,B,-9.49
2c7m,B,A,-7.08
2c7n,B,A,-7.08
2ccl,A,B,-10.7
2d10,A,E,-11.96
2dsp,B,I,-7.53
2dvw,A,B,-9.78
2dx5,A,B,-4.75
2efd,A,B,-11.09
2efh,A,B,-10.15
2f31,A,B,-9.53
2f4m,A,B,-9.8
2f9z,A,C,-8.24
2fdb,P,M,-9.29
2fju,B,A,-7.19
2g45,A,B,-7.57
2gox,A,B,-12.4
2gww,A,B,-13.58
2hle,A,B,-10.09
2hqs,A,H,-10.32
2hrk,A,B,-10.97
2hth,B,A,-5.43
2i25,L,N,-12.27
2i26,L,N,-10.95
2i32,A,E,-8.03
2i3s,A,B,-7.42
2i3t,A,B,-7.59
2i9b,E,A,-12.3
2ihs,A,C,-10.09
2iy1,A,B,-8.32
2iyb,A,E,-7.42
2j12,A,B,-10.5
2jki,A,S,-7.89
2noj,A,B,-10.75
2o39,A,C,-10.75
2omt,A,B,-9.54
2omu,A,B,-12.57
2omv,A,B,-12.16
2omw,A,B,-6.82
2omx,A,B,-9.44
2omy,A,B,-9.13
2omz,A,B,-8.72
2ot8,A,C,-10.5
2oza,B,A,-11.73
2p1l,A,B,-7.69
2p8q,A,B,-10.65
2pcb,A,B,-6.82
2pkg,A,C,-8.15
2pms,A,C,-10.89
2ptt,B,A,-7.36
2q5d,A,C,-10.65
2qho,A,B,-5.76
2qna,A,B,-9.66
2qxv,A,B,-8.75
2rex,B,A,-7.17
2uyz,A,B,-9.66
2v4z,A,B,-8.05
2v5q,A,D,-9.75
2v8s,E,V,-6.35
2v9t,B,A,-11.03
2vay,A,B,-11.05
2vn5,A,B,-12.27
2vog,A,B,-9.11
2voh,A,B,-12.27
2voi,A,B,-12.22
2vsm,A,B,-10.17
2w2x,A,D,-6.35
2w80,D,A,-11.45
2w8b,A,H,-10.12
2wd5,B,A,-10.44
2wfx,B,A,-10.71
2wg3,C,A,-9.73
2wg4,B,A,-9.72
2wh6,A,B,-10.56
2wjv,A,D,-9.13
2wo2,A,B,-6.77
2wo3,A,B,-7.69
2wp3,T,O,-8.32
2wus,A,R,-7.23
2wwk,T,O,-8.04
2wwx,B,A,-9.68
2wy3,A,B,-9.79
2wy8,A,Q,-8.79
2xa0,A,C,-10.16
2xbb,A,C,-6.76
2xgy,B,A,-6.17
2xhe,A,B,-11.47
2xpx,A,B,-9.3
2xqr,A,B,-10.24
2xze,B,R,-9.47
2y9m,A,B,-11.86
2z3q,A,B,-14.21
2z58,A,B,-10.63
2z8v,A,D,-11.34
2z8w,A,D,-11.36
2za4,A,B,-13.44
3ajb,A,B,-10.08
3au4,A,B,-8.56
3b08,A,B,-6.5
3bdy,L,H,-8.89
3bik,A,B,-6.95
3bx7,A,C,-10.97
3bzd,B,A,-5.48
3c66,A,C,-7.53
3c9a,B,D,-11.06
3cqg,A,B,-11.45
3cx6,A,B,-7.25
3cx7,A,B,-8.57
3cx8,A,B,-8.82
3d1m,A,D,-7.59
3d5r,A,C,-10.53
3d5s,A,C,-10.34
3dvm,A,B,-11.41
3dvu,A,C,-9.13
3dxc,A,B,-9.08
3dxd,A,B,-8.82
3dxe,A,B,-8.84
3e2u,A,E,-7.69
3eab,A,G,-6.71
3eba,B,A,-11.76
3egg,A,C,-10.99
3fhc,A,B,-10.45
3fpu,A,B,-13.53
3g3a,A,B,-8.68
3g3b,A,B,-10.18
3g9v,A,B,-16.36
3gb8,A,B,-7.07
3gc3,B,A,-7.74
3gj3,A,B,-5.88
3gj4,A,B,-7.06
3gj5,A,B,-5.9
3gj6,A,B,-7.07
3gj7,A,B,-7.36
3gj8,A,B,-7.53
3gni,A,B,-10.8
3gxu,A,B,-9.13
3h2u,B,A,-6.68
3h2v,A,E,-6.35
3h8k,A,B,-10.47
3hct,B,A,-7.95
3htu,A,B,-7.83
3ia3,D,A,-9.59
3ixs,A,B,-9.61
3k1r,A,B,-12.27
3k2m,D,A,-11.12
3kbt,A,D,-10.95
3knb,A,B,-8.22
3kw5,A,B,-8.75
3kz1,A,F,-9.49
3l9j,T,C,-12.91
3lbx,B,A,-8.72
3m18,A,B,-13.29
3m62,A,B,-9.76
3m63,A,B,-9.21
3ma2,D,C,-7.93
3mc0,B,A,-9.41
3mca,A,B,-8.74
3me2,R,A,-13.86
3mjh,A,B,-7.66
3mzg,B,A,-3.14
3mzw,A,B,-14.53
3n06,B,A,-3.42
3n0p,B,A,-3.13
3ncb,B,A,-1.41
3ncc,B,A,-0.92
3nvn,B,A,-10.95
3o5t,A,B,-7.94
3o6b,A,B,-9.06
3oak,A,D,-9.23
3oed,A,C,-8.59
3oiq,A,B,-7.39
3oky,A,B,-8.03
3ol2,A,B,-7.17
3ona,A,B,-8.41
3oxu,B,F,-6.09
3p71,T,C,-8.75
3p9w,B,A,-10.63
3q3j,B,A,-7.03
3qbq,B,A,-9.05
3qbv,B,A,-8.62
3qc8,A,B,-6.75
3qht,C,A,-9.66
3qml,A,C,-10.75
3qq8,A,B,-7.94
3qsk,B,A,-9.6
3qwq,A,B,-11.86
3r4d,B,A,-10.46
3rbb,A,B,-10.79
3rdz,A,C,-11.69
3rea,A,B,-9.2
3reb,A,B,-9.57
3rf3,A,C,-14.0
3rzw,A,D,-9.77
3sek,C,B,-12.12
3sf4,A,D,-11.75
3sri,A,B,-9.25
3t04,D,A,-9.93
3t6g,A,B,-10.26
3tac,A,B,-8.54
3tkl,B,A,-8.68
3tu3,B,A,-9.88
3tz1,A,B,-9.34
3u43,B,A,-20.45
3u82,B,A,-10.59
3ul4,A,B,-10.83
3ux9,B,A,-12.44
3uyo,A,D,-7.05
3v4y,A,B,-10.57
3v6b,R,A,-8.94
3vpj,E,A,-11.67
3vux,A,G,-6.88
3vv2,A,B,-14.02
3vyr,B,A,-9.35
3w8h,A,B,-9.25
3w8i,A,B,-11.82
3wdg,A,B,-12.17
3wn7,A,B,-11.09
3wo3,B,A,-9.76
3wqb,A,B,-11.92
3wrx,C,A,-7.74
3wry,C,A,-8.87
3wwn,A,B,-7.06
3zet,B,A,-8.91
3zkq,A,D,-12.16
3zu7,A,B,-11.15
3zwl,B,E,-9.27
3zwz,A,B,-10.49
3zyi,A,B,-11.09
3zyj,A,B,-11.05
4afq,A,C,-11.75
4afz,A,C,-12.33
4ag2,A,C,-11.19
4ap2,B,A,-10.5
4apf,B,A,-8.44
4apx,B,A,-7.55
4aqe,B,A,-7.66
4awx,A,B,-8.59
4ayd,D,A,-8.3
4aye,D,A,-7.47
4ayi,D,A,-11.86
4b93,B,A,-7.69
4bfi,B,A,-8.48
4bru,A,B,-9.13
4brw,A,B,-9.96
4bwq,E,F,-6.42
4c4k,T,O,-7.59
4c4p,A,B,-9.0
4c5g,A,B,-8.16
4c7n,B,A,-12.27
4c9b,A,B,-10.29
4cdk,A,E,-7.8
4cj0,A,B,-9.56
4cj1,A,B,-9.98
4cj2,B,C,-10.85
4ct0,A,B,-10.3
4cu4,A,B,-8.07
4cvw,A,C,-14.35
4d0g,A,C,-7.83
4d0n,B,A,-6.47
4dbg,B,A,-8.57
4dge,A,C,-6.02
4dh2,A,B,-10.21
4did,A,B,-7.12
4dj9,A,B,-9.55
4ds8,B,A,-6.97
4dx8,A,J,-8.05
4dxa,B,A,-7.83
4ehq,A,G,-8.03
4eig,A,B,-12.27
4eiz,A,D,-11.62
4eqa,C,A,-11.75
4euk,B,A,-7.35
4exp,X,A,-8.59
4f0a,B,A,-7.66
4f38,B,A,-11.64
4fq0,B,C,-8.26
4g01,A,B,-7.46
4g0n,A,B,-9.68
4g2v,A,B,-9.49
4g59,C,A,-8.7
4geh,A,B,-10.82
4gh7,B,A,-11.23
4giq,R,A,-7.74
4gla,A,D,-6.07
4glv,A,B,-11.64
